Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Georeference
ELEC,W 75th Parking Garage - Tesla Supercharger,201 W 75th Street,,New York,NY,10023,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,4,,Tesla,https://www.tesla.com/supercharger,200-8,40.780976,-73.980414,10/03/2022,102335,2022-12-01 17:40:26,P,,,07/23/2018,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,POINT (-73.980414 40.780976)
ELEC,LEVITON MELVILLE 2,201 N Service Rd,,Melville,NY,11747,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.783577,-73.419876,05/13/2023,183328,2023-05-13 00:20:17,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.419876 40.783577)
ELEC,U OF R AOC 3,10 Miracle Mile Dr,,Rochester,NY,14623,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.081550,-77.633417,05/13/2023,251966,2023-05-13 00:35:35,,,,01/25/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-77.633417 43.08155)
ELEC,CLARKSTOWN TOC 1 & 2,10 Maple Ave,,New City,NY,10956,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.147003,-73.988106,05/13/2023,175059,2023-05-13 00:20:03,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.988106 41.147003)
ELEC,Meier's Creek Brewing Co,33 Rippleton Rd,Located in the parking lot,Cazenovia,NY,13035,,315-815-4022,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,42.919517,-75.866050,03/08/2023,79175,2023-03-08 17:16:33,P,,,07/01/2016,,,,,J1772,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,POINT (-75.86605 42.919517)
ELEC,Adirondack Mountain Club - Tesla Destination,814 Goggins Rd,,Lake George,NY,12845,,518-668-4447  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,43.400669,-73.715961,10/06/2022,114964,2023-01-18 15:15:20,P,,,07/25/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free,,,,,,,,,,POINT (-73.7159613 43.4006692)
ELEC,Dimension Fabricators,2000 7th Street,,Scotia,NY,12302,,866-816-7584,E,,Public,,,,,,,4,,,EV Connect,http://evconnect.com/,GPS,42.842358,-73.995330,05/13/2023,166331,2023-05-13 01:26:38,,,,05/12/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.99533 42.842358)
ELEC,Jeff Blatnik Park,2555 River Rd,,Niskayuna,NY,12309,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,,,,4,,,LIVINGSTON,https://www.solution.energy,GPS,42.813258,-73.865440,07/12/2022,223247,2023-02-14 15:54:11,LG,,,03/24/2022,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,,,,,,,,,,,POINT (-73.8654404061674 42.813257642862)
ELEC,Legend Nissan,268 Jericho Turnpike,,Syosset,NY,11791,,516-496-8181,E,,Public,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,40.809865,-73.507761,03/07/2022,44203,2023-02-14 15:54:11,P,,,11/30/2011,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,POINT (-73.507761 40.809865)
ELEC,LIRR Station Plaza,48-54 Railroad Plaza,,Southampton,NY,11968,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,,,,4,,,LIVINGSTON,https://www.solution.energy,GPS,40.894210,-72.390450,07/12/2022,223290,2023-02-14 15:54:11,P,,,04/23/2022,,,,,J1772,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,,,,,,,,,,,POINT (-72.39045 40.89421)
ELEC,CENTROTHERM CENTRO F6,400 S Pearl St,,Albany,NY,12202,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.637654,-73.758885,05/13/2023,187556,2023-05-13 00:21:51,,,,04/13/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.758885 42.637654)
ELEC,Embassy Suites by Hilton Saratoga Springs - Tesla Destination,86 Congress St,,Saratoga Springs,NY,12866,,518-290-9090  877-798-3752,E,,Public,,,,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.079349,-73.790155,10/06/2022,115236,2023-01-18 15:15:20,P,,,06/27/2016,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,POINT (-73.790155 43.079349)
ELEC,South Port Shopping Center - Tesla Supercharger,999 Montauk Highway,,Shirley,NY,11967,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,A D Debit M V,,,,,,12,,Tesla,https://www.tesla.com/supercharger,GPS,40.805880,-72.859780,10/03/2022,214708,2022-12-01 17:40:26,P,,,04/17/2022,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,POINT (-72.85978 40.80588)
ELEC,"Brixmor North Ridge Shopping Center (New Rochelle,",77 QUAKER RIDGE RD,,New Rochelle,NY,10804,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,40.949240,-73.791490,05/13/2023,219480,2023-05-13 00:42:44,,,,05/24/2022,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.79149 40.94924)
ELEC,HIDDEN CREEK HC 150 RIGHT,150 Charwood Cir,,Irondequoit,NY,14609,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.183416,-77.559935,05/13/2023,257254,2023-05-13 00:36:32,,,,03/29/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-77.559935 43.183416)
ELEC,Holiday Inn - Queensbury,216 Corinth Rd,,Queensbury,NY,12804,,518-691-3119,E,,Public,24 hours daily,,,,,,4,,,LIVINGSTON,https://www.solution.energy,GPS,43.299597,-73.680142,06/07/2021,189521,2022-02-10 19:42:29,P,,,11/25/2020,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,NONE,POINT (-73.680142 43.299597)
ELEC,SUNY Schenectady - Center for Science and Technology,78 Washington Ave,,Schenectady,NY,12305,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,,,,6,,,LIVINGSTON,https://www.solution.energy,GPS,42.815670,-73.950150,07/12/2022,223109,2023-02-14 15:54:11,P,,,10/29/2021,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,,POINT (-73.95015 42.81567)
ELEC,1-4 STATION 3,103 Broad St,,Waterford,NY,12188,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.791016,-73.679820,05/13/2023,238325,2023-05-13 00:34:52,,,,12/19/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.67982 42.791016)
ELEC,CITY OF BEACON STATION 1,13 South Ave,,Beacon,NY,12508,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.507568,-73.977600,05/13/2023,149620,2023-05-13 00:19:03,,,,11/28/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.9776 41.507568)
ELEC,200 East End Ave,200 East End Ave,,New York,NY,10128,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,,,,4,,,LIVINGSTON,https://www.solution.energy,GPS,40.777290,-73.943550,07/12/2022,223282,2023-02-14 15:54:11,P,,,04/28/2022,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,,,,,,,,,,,POINT (-73.94355 40.77729)
ELEC,RRH ST MARYS 4,89 Genesee St,,Rochester,NY,14611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.149397,-77.636852,05/13/2023,174453,2023-05-13 00:17:13,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-77.636852 43.149397)
ELEC,Baychester Retail III LLC,500 Baychester Ave,,Bronx,NY,10475,,866-816-7584,E,,Public,,,,,,,3,,,EV Connect,http://evconnect.com/,GPS,40.869205,-73.831633,05/13/2023,205822,2023-05-13 01:26:33,,,,02/04/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.831633 40.869205)
ELEC,Hometown Auto Services,50 Geneva St,,Lyons,NY,14489,,833-692-6787,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,6,,,AMPUP,https://ampup.io/,GPS,43.062370,-76.991655,09/14/2022,226549,2023-02-14 15:54:11,P,,,08/25/2022,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,AUTO_REPAIR,,,,,,,,,,,,,,,,,POINT (-76.9916550257743 43.0623699006632)
ELEC,Central Parking 200 Chambers - Tesla Destination,200 Chambers St,,New York,NY,10007,,800-836-6666  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.716256,-74.012543,10/06/2022,115038,2023-01-18 15:15:20,P,,,01/09/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-74.012543 40.716256)
ELEC,IKEA USA BROOKLYN 3,1 Beard St,,Red Hook,NY,11231,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.671393,-74.011584,05/13/2023,252886,2023-05-13 00:31:08,,,,02/01/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-74.011584 40.671393)
ELEC,Maguire Honda of Ithaca,315 Elmira Rd,,Ithaca,NY,14850,,607-273-1926,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,1,,,Non-Networked,,GPS,42.426395,-76.509167,09/14/2022,226521,2023-02-14 15:54:11,P,,,08/25/2022,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CAR_DEALER,,,,,,,,,,,,,,,,,POINT (-76.5091665942317 42.4263952006438)
ELEC,65 Remsen,65 Remsen St,,Cohoes,NY,12047,,844-623-1001,E,,Public - Credit card at all times,24 hours daily,A CREDIT D M V,,,,,2,,,LIVINGSTON,https://www.solution.energy,GPS,42.775280,-73.701370,02/13/2023,252712,2023-02-14 15:54:11,P,,,11/29/2022,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MULTI_UNIT_DWELLING,,,,,,,,,,,,,,,,,POINT (-73.70137 42.77528)
ELEC,FSA DODS HALL,585 Ring Rd,,Fredonia,NY,14063,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.451461,-79.339938,05/13/2023,235869,2023-05-13 00:34:40,,,,11/09/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-79.339938 42.451461)
ELEC,BETHLEHEM EV TOWN HALL #F1,445 Delaware Ave,,Delmar,NY,12054,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.620483,-73.839350,05/13/2023,260383,2023-05-13 00:35:39,,,,05/06/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.83935 42.620483)
ELEC,MAINLOT MAIN LOT LEFT 1,181 E Fairmount Ave,,Lakewood,NY,14750,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.098102,-79.314180,05/13/2023,231094,2023-05-13 00:33:49,,,,10/01/2022,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-79.31418 42.098102)
ELEC,MILLER MOTORS M HYUNDAI FAST,4477 NY-434,,Vestal,NY,13850,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.095895,-75.963291,05/13/2023,254109,2023-05-13 00:30:02,,,,02/16/2023,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-75.963291 42.095895)
ELEC,Nissan of Queens,9325 Rockaway Blvd,,Ozone Park,NY,11417,,718-835-8300,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.681170,-73.845621,06/09/2020,49938,2023-02-15 22:45:41,P,,,10/25/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,POINT (-73.845621 40.68117)
ELEC,Storm King Tavern and Golf Club - Tesla Destination,18 Ridge Rd,,Cornwall,NY,12518,,845-534-3899  877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.429539,-74.028420,10/06/2022,114928,2023-01-18 15:15:20,P,,,05/11/2017,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,POINT (-74.02842 41.429539)
ELEC,COMFORT INN COMFORT INN,156 Sacandaga Rd,,Scotia,NY,12302,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.834270,-73.969972,05/13/2023,162255,2023-05-13 00:12:21,,,,06/12/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.969972 42.83427)
ELEC,SAREMBAS STATION 2,86 Congress St,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.078663,-73.790306,05/13/2023,227531,2023-05-13 00:33:34,,,,09/14/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.790306 43.078663)
ELEC,Gerard Garage,69-13 Austin St.,Unit#338 is under repair.||,Forest Hills,NY,11375,,888-998-2546,E,,Public,,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.722050,-73.849351,05/13/2023,189365,2023-05-13 00:00:49,,,,05/07/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,POINT (-73.849351 40.72205)
ELEC,SAVARINO COMPAN 500 SENECA 2,Myrtle St Lot Charger 2 500 Seneca Street,,Buffalo,NY,14204,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.878418,-78.857730,05/13/2023,164150,2023-05-13 00:22:21,,,,07/11/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.85773 42.878418)
ELEC,BURNS MGT EXCELSIOR 5,25 Whistler Ct,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.094280,-73.753449,05/13/2023,120972,2023-05-13 00:15:12,,,,03/27/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.753449 43.09428)
ELEC,DEER PARK TANGER EV 1,152 The Arches Cir,,Deer Park,NY,11729,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.762395,-73.305358,05/13/2023,180163,2023-05-13 00:04:49,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.305358 40.762395)
ELEC,BROADSTCW ADK CAR WASH 1,203 Broad St,,Glens Falls,NY,12801,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.303116,-73.662150,05/13/2023,170005,2023-05-13 00:23:59,,,,12/09/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.66215 43.303116)
ELEC,V OF GREENWICH VILLAGE HALL,6 Academy Street,,Greenwich,NY,12834,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.091309,-73.503121,05/13/2023,192784,2023-05-13 00:27:24,,,,07/13/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.503121 43.091309)
ELEC,LARKIN726RRAMPP LARKIN 2,726 Exchange St,,Buffalo,NY,14210,,888-758-4389,E,,Public,Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.874889,-78.849833,05/13/2023,182984,2023-05-13 00:14:53,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.849833 42.874889)
ELEC,SCOTIA EVCHARGE SCOTIA EV1,138 Mohawk Ave,,Scotia,NY,12302,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.826458,-73.963610,05/13/2023,175481,2023-05-13 00:21:01,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.96361 42.826458)
ELEC,Icon 9-11 Park Ave - Tesla Destination,9 - 11 Park Ave,,New York,NY,10016,,212-725-5081  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.747299,-73.981039,10/06/2022,115191,2023-01-18 15:15:20,P,,,06/13/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-73.981039 40.747299)
ELEC,626 Sheepshead Bay Rd - Parking,626 Sheepshead Bay Rd,Entrance is in-between post office and Net Coast Market on Sheepshead Bay RdEntrance is in-between post office and ||Net Coast Market on Sheepshead Bay Rd.||,Brooklyn,NY,11224,,888-998-2546,E,,Public,,,,,,,6,,,Blink Network,http://www.blinkcharging.com/,GPS,40.578630,-73.975218,05/12/2023,197548,2023-05-12 23:58:46,,,,10/08/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,POINT (-73.975218 40.57863)
ELEC,Wellington Gardens,24 W. Campbell Rd,,Schenectady,NY,12306,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,,,,10,,,LIVINGSTON,https://www.solution.energy,GPS,42.802020,-73.986110,07/12/2022,223228,2023-02-14 15:54:11,P,,,05/11/2022,,,,,J1772,US,,,,Public,,public,,,MULTI_UNIT_DWELLING,,,,,,,,,,,,,,,,,POINT (-73.98611 42.80202)
ELEC,GGMC Parking 415 E 79th - Tesla Destination,415 E 79th St,,New York,NY,10075,,212-650-1275  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.771918,-73.951679,10/06/2022,115127,2023-01-18 15:15:20,P,,,12/30/2016,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-73.951679 40.771918)
ELEC,U.S.B.STATION#1 ULSTER SAVINGS,180 Schwenk Dr,,Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.937650,-74.025314,05/13/2023,145543,2023-05-13 00:16:54,,,,09/26/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-74.025314 41.93765)
ELEC,QuickChek - Tesla Supercharger,601 East Main Street,,Middletown,NY,10941,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,41.442393,-74.376390,10/03/2022,150207,2022-12-01 17:40:26,P,,,11/19/2019,,,,,TESLA,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,POINT (-74.37639 41.442393)
ELEC,Motor Parkway Plaza - Tesla Supercharger,694 Motor Parkway,,Hauppauge,NY,11788,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,A D Debit M V,,,,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,40.806913,-73.238541,10/03/2022,196519,2022-12-01 17:40:26,P,,,09/25/2021,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,POINT (-73.238541 40.806913)
ELEC,Yonkers Main Yard,"969 A Midland AveYonkers, NY 10704",,Yonkers,NY,10704,,800-663-5633,E,,Public,,,,,,,5,,,SemaCharge Network,https://semaconnect.com/,GPS,40.935943,-73.857583,05/13/2023,235998,2023-05-13 00:01:58,,,,01/17/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,POINT (-73.857583 40.935943)
ELEC,NATIONAL GRID MISCI,15 Nott Terrace Heights,,Schenectady,NY,12308,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.812593,-73.933160,05/13/2023,162230,2023-05-13 00:12:25,,,,06/12/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.93316 42.812593)
ELEC,GGMC Ruppert Car Park - Tesla Destination,245 E 90th St,,New York,NY,10128,,212-722-0188  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.780980,-73.951145,10/06/2022,115066,2023-01-18 15:15:20,P,,,01/08/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-73.951145 40.78098)
ELEC,TSS ALBANY STATION 9 & 10,2 Commerce Park Dr,,Schenectady,NY,12309,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.833065,-73.903824,05/13/2023,183227,2023-05-13 00:18:51,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.903824 42.833065)
ELEC,COMFORT- CHARGE STATION 2,4054 ny-9l,,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.411800,-73.708410,05/13/2023,182157,2023-05-13 00:24:36,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.70841 43.4118)
ELEC,NYC FLEET DCASCSTHSE_3_L3,6626 Metropolitan Ave,,Middle Village,NY,11379,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.711273,-73.892220,05/13/2023,196565,2023-05-13 00:22:36,,,,10/01/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.89222 40.711273)
ELEC,Icon Parking 330 E 39th Street - Tesla Destination,330 E 39th St,,New York,NY,10016,,212-599-8670  877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.746851,-73.972901,10/06/2022,115098,2023-01-18 15:15:20,P,,,04/30/2016,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-73.972901 40.746851)
ELEC,210 HANCOCK STATION 1,423 1st St,,Ithaca,NY,14850,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.448275,-76.503354,05/13/2023,162304,2023-05-13 00:10:55,,,,06/12/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-76.503354 42.448275)
ELEC,854ELLICOTT 854 ELLICOTT 6,854 Ellicott St,,Buffalo,NY,14203,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.901752,-78.867526,05/13/2023,180113,2023-05-13 00:12:29,,,,01/27/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.867526 42.901752)
ELEC,Nannen Arboretum,28 Parkside Dr,,Ellicottville,NY,14731,,716-699-5046,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,42.283144,-78.669294,06/14/2022,157960,2023-02-14 15:54:11,P,,,05/15/2020,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,,,,,,,,,,,POINT (-78.669294 42.283144)
ELEC,Lorell Professional Building,1476 Deer Park Ave,,North Babylon,NY,11703,,866-816-7584,E,,Public,,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,40.747521,-73.324952,05/13/2023,154899,2023-05-13 01:26:29,,,,04/11/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.324952 40.747521)
ELEC,WATERVLIET MUSEUM 4,1501 1st Ave,,Watervliet,NY,12189,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.726210,-73.701145,05/13/2023,205368,2023-05-13 00:28:14,,,,01/27/2022,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.701145 42.72621)
ELEC,"Love's 403 (Binghamton, NY)",2 INDUSTRIAL PARK DRIVE,,Binghamton,NY,13904,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,42.101290,-75.836340,05/13/2023,199188,2023-05-13 00:42:00,,,,10/27/2021,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-75.83634 42.10129)
